sample	Acidilobales	Actinomycetales	Bacillales	Bacteroidales	Bifidobacteriales	Burkholderiales	Caldilineales	Campylobacterales	Caulobacterales	Clostridiales	Coriobacteriales	Cytophagales	Desulfovibrionales	Desulfurococcales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Fusobacteriales	Gammaproteobacteria_incertae_sedis	Halanaerobiales	Hydrogenophilales	Lactobacillales	Methanobacteriales	Mycoplasmatales	Myxococcales	Neisseriales	Pasteurellales	Planctomycetales	Pseudomonadales	Puniceicoccales	Rhizobiales	Rhodobacterales	Rhodospirillales	Selenomonadales	Sphingobacteriales	Sulfolobales	Synergistales	Syntrophobacterales	Thermales	Thermoproteales	Verrucomicrobiales	Xanthomonadales
r2_B17	1	9	1	21414	222	331	0	0	0	31413	286	0	142	10	2	2186	1	1	0	0	0	6444	0	0	0	0	42	0	0	0	5	0	0	270	10	0	0	0	0	0	681	0
r2_B18	1	12	0	18373	719	769	0	0	0	34817	895	0	185	13	1	2292	0	0	0	0	0	2359	0	0	0	0	0	0	0	9	14	0	0	46	12	0	0	0	0	0	1329	0
r2_B19	1	11	2	21664	383	325	0	0	0	39385	1024	0	468	6	0	1443	0	0	0	0	0	2198	0	0	0	0	1	0	0	3	11	0	0	35	7	0	0	0	0	0	2733	0
r2_B2	1	25	1	24195	40	312	0	0	0	45187	2105	0	742	14	455	2578	0	0	0	0	1	3068	0	0	0	0	0	0	0	1	8	0	0	27	11	0	0	0	0	0	4858	0
r2_B20	0	19	1	1057	297	29	0	0	0	12623	792	0	19	4	12	963	0	0	0	0	0	321	0	0	0	0	0	0	1	3	0	0	0	18	2	0	0	0	0	0	712	0
r2_B21	0	18	2	3089	567	57	0	0	0	29453	1196	0	32	11	9	1696	0	0	0	0	0	839	1	0	0	0	0	0	0	3	10	0	0	53	6	0	0	0	0	0	1268	0
r2_B22	1	15	0	1643	521	44	0	0	0	22983	1052	0	30	5	2	1306	0	0	0	0	0	819	3	0	0	0	0	0	0	1	2	0	0	35	3	0	0	0	0	1	831	0
r2_B23	2	17	1	2216	888	69	0	0	0	28781	1433	0	42	16	8	1695	0	0	0	0	0	1174	0	0	0	0	0	0	0	0	13	0	0	52	11	0	0	0	0	0	1198	0
r2_B24	1	20	0	20438	294	418	0	0	0	31617	636	0	383	15	1	943	0	0	0	0	0	3901	1	0	0	0	0	0	0	1	2	0	0	121	0	0	0	0	0	0	3555	0
r2_B25	1	17	0	16370	485	731	0	0	0	38223	777	0	268	13	0	1563	0	1	0	0	0	1696	0	0	0	0	0	0	0	1	5	0	0	36	5	0	0	0	0	0	2793	0
