sample	Acidaminococcaceae	Acidilobaceae	Actinomycetaceae	Aerococcaceae	Alcaligenaceae	Bacillaceae 1	Bacillaceae 2	Bacillales_Incertae Sedis XI	Bacteroidaceae	Bacteroidales_incertae_sedis	Bifidobacteriaceae	Bradyrhizobiaceae	Brucellaceae	Burkholderiaceae	Caldilineaceae	Caldisphaeraceae	Campylobacteraceae	Carnobacteriaceae	Caulobacteraceae	Chitinophagaceae	Chloroplast	Clostridiaceae 1	Clostridiaceae 2	Clostridiaceae 3	Clostridiaceae 4	Clostridiales_Incertae Sedis XI	Clostridiales_Incertae Sedis XII	Clostridiales_Incertae Sedis XIII	Coriobacteriaceae	Corynebacteriaceae	Cyclobacteriaceae	Cytophagaceae	Defluviitaleaceae	Dermabacteraceae	Desulfohalobiaceae	Desulfovibrionaceae	Desulfurococcaceae	Dietziaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Flammeovirgaceae	Flavobacteriaceae	Fusobacteriaceae	Gracilibacteraceae	Halanaerobiaceae	Hydrogenophilaceae	Incertae Sedis XI	Kineosporiaceae	Labilitrichaceae	Lachnospiraceae	Lactobacillaceae	Leptotrichiaceae	Leuconostocaceae	Marinilabiliaceae	Methanobacteriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Mycobacteriaceae	Mycoplasmataceae	Neisseriaceae	Nocardiaceae	Nocardiopsaceae	Oxalobacteraceae	Pasteurellaceae	Peptococcaceae 1	Peptococcaceae 2	Peptostreptococcaceae	Planctomycetaceae	Planococcaceae	Porphyromonadaceae	Prevotellaceae	Prolixibacteraceae	Propionibacteriaceae	Pseudomonadaceae	Puniceicoccaceae	Pyrodictiaceae	Rhodobacteraceae	Rhodospirillaceae	Rikenellaceae	Ruminococcaceae	Sphingobacteriaceae	Sporolactobacillaceae	Staphylococcaceae	Streptococcaceae	Sulfolobaceae	Sutterellaceae	Synergistaceae	Syntrophobacteraceae	Syntrophomonadaceae	Thermaceae	Thermoproteaceae	Veillonellaceae	Verrucomicrobiaceae	Xanthomonadaceae
r1_B33	4	0	0	15	0	0	0	0	14421	0	473	2	0	0	0	0	0	0	0	17	0	60	0	0	0	1	0	9	1010	0	0	0	0	0	0	257	0	0	1	0	3875	23	0	0	0	0	0	0	1	0	0	10773	30	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	28	0	0	2089	0	0	0	0	0	1	0	0	448	5278	0	0	0	296	0	371	0	0	0	0	0	9	2165	0
r1_B34	0	0	1	12	0	0	0	0	10063	0	1040	0	0	0	0	0	0	2	0	11	0	156	0	0	0	0	0	6	1755	0	0	0	1	0	0	57	0	0	0	0	5332	28	0	0	0	0	0	0	1	0	0	6188	8	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	14	0	0	1651	0	0	0	0	0	0	0	0	410	5467	0	0	1	328	0	114	1	0	0	0	0	4	2618	0
r1_B35	6	0	2	9	0	0	0	0	12012	0	1999	3	0	0	0	0	0	2	0	9	0	112	0	0	0	1	0	3	881	0	0	0	0	0	0	150	0	0	9	0	2882	7	0	0	0	0	0	0	0	0	0	24672	34	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	227	0	0	1921	0	0	0	0	0	1	0	0	253	6959	0	0	0	1981	0	329	0	0	0	0	0	21	1099	0
r1_B36	4	0	2	14	0	0	0	0	14475	0	356	1	0	0	0	0	0	1	1	14	0	78	0	0	0	0	0	3	1149	0	0	0	0	0	0	239	0	0	608	1	960	2	0	0	0	0	0	0	0	0	0	21306	36	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	27	0	0	1287	0	1	0	0	0	0	0	0	108	7201	0	0	0	1720	0	208	0	0	0	0	0	20	12	0
r1_B37	4	0	2	5	0	0	0	0	12720	0	395	0	0	0	0	0	1	2	0	5	0	43	1	0	0	2	0	0	1178	0	0	0	0	0	0	228	0	0	569	2	836	0	0	0	0	0	0	0	0	0	0	17524	40	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	27	0	0	1230	0	0	0	0	0	0	0	0	104	6465	0	0	0	1538	0	207	0	0	0	0	0	13	5	0
r1_B38	2	0	1	23	0	0	0	0	12160	0	456	0	0	1	0	0	0	2	0	19	1	49	1	0	0	2	0	2	1042	0	0	0	0	0	0	160	0	0	577	2	755	0	0	0	0	0	0	0	0	0	0	16198	45	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	26	0	0	963	0	0	0	0	0	0	0	0	71	6244	0	0	0	1329	0	128	0	0	0	0	0	8	2	0
r1_B39	0	0	3	20	0	0	0	2	18545	0	383	0	0	0	0	0	0	4	0	16	0	60	0	0	0	2	0	6	1205	0	0	0	0	0	0	272	0	0	757	2	1075	2	0	0	0	0	0	0	0	0	0	23345	58	0	1	0	0	0	20	0	0	0	0	0	0	0	0	0	0	33	0	0	1718	0	0	0	0	0	0	0	0	130	7482	0	0	0	2204	0	238	0	0	0	0	0	17	7	0
r1_B4	37	0	39	35	0	0	0	1	34441	0	696	4	0	0	0	0	0	3	0	41	11	942	1	0	0	64	0	66	2023	1	0	0	2	0	0	1181	0	0	10	1	2701	109	0	0	0	8	0	0	6	0	0	36350	47	0	2	0	0	0	10	0	0	0	0	0	0	0	4	0	0	20	0	0	5309	0	0	0	0	0	1	0	0	585	17057	0	0	0	13329	0	319	0	0	0	0	0	29	3397	0
r1_B40	10	0	0	8	0	0	0	0	17490	0	178	0	0	0	0	0	0	1	0	11	0	158	3	0	0	2	0	9	595	0	0	1	0	0	0	551	0	0	115	9	634	8	0	0	0	0	0	0	0	0	0	18857	12	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	135	0	0	2930	0	0	0	0	0	0	0	0	913	7762	0	0	0	2498	0	586	0	0	0	0	0	6	3	0
r1_B41	12	0	4	16	0	0	0	0	20582	0	190	0	0	0	0	0	0	1	0	17	0	214	4	0	0	0	0	14	632	1	0	0	1	0	0	631	0	0	147	9	639	5	0	0	0	0	0	0	0	0	0	22078	25	0	0	0	0	0	14	0	0	0	0	0	0	0	0	1	0	145	0	0	2984	0	0	0	0	0	0	0	0	1073	10320	0	0	0	2773	0	638	0	0	0	0	0	7	6	0
