sample	Acidobacteria_Gp19	Acidobacteria_Gp21	Acidobacteria_Gp5	Acidobacteria_Gp9	Actinobacteria	Alphaproteobacteria	Bacilli	Bacteroidia	Betaproteobacteria	Caldilineae	Chloroplast	Clostridia	Cytophagia	Deinococci	Deltaproteobacteria	Epsilonproteobacteria	Erysipelotrichia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Halobacteria	Methanobacteria	Mollicutes	Negativicutes	Opitutae	Planctomycetia	Sphingobacteriia	Subdivision5	Synergistia	Thermoprotei	Verrucomicrobiae
r2_B32	0	1	1	0	4303	10	554	17599	261	0	0	24793	0	0	113	0	10715	0	0	19	0	0	0	8	2	0	12	0	0	56	4122
r2_B33	0	0	4	0	1377	4	301	15699	338	0	0	15147	0	0	232	0	3622	0	0	10	0	0	1	9	3	0	7	0	0	86	2021
r2_B34	0	0	0	0	2721	4	347	11643	108	0	0	12139	0	0	56	0	5233	0	0	11	0	0	0	4	2	0	3	0	1	44	2576
r2_B35	0	1	2	0	2757	4	1934	13269	314	0	0	31196	0	0	140	0	2725	0	0	16	0	0	0	24	0	0	3	0	0	80	1049
r2_B36	0	0	2	0	1470	4	1746	15361	207	0	0	28036	0	0	231	0	925	0	0	600	0	0	0	27	0	0	3	0	0	50	6
r2_B37	0	0	1	0	1543	3	1555	13594	204	0	0	23685	0	0	226	1	817	0	0	557	0	0	0	28	0	0	0	0	0	47	0
r2_B38	0	0	2	0	1456	12	1350	12719	125	0	1	21945	0	0	156	0	734	0	0	559	0	0	0	30	0	0	4	0	0	35	0
r2_B39	0	0	3	0	1539	9	2216	19574	235	0	0	30196	0	0	263	0	1029	0	0	737	0	1	0	39	0	0	5	0	0	39	1
r2_B4	0	0	2	0	2697	14	13336	38822	315	0	11	55507	0	0	1165	0	2640	0	0	30	0	0	0	61	0	0	9	0	0	82	3392
r2_B40	0	0	1	0	761	4	2485	20630	579	0	0	26875	0	0	541	0	624	0	0	121	0	0	0	34	0	0	3	0	0	29	1
r2_B41	0	0	1	0	792	6	2782	23632	621	0	0	32220	0	0	614	0	605	0	0	154	0	0	0	32	1	0	8	0	0	38	2
r2_B42	0	1	2	0	919	6	905	16036	560	0	0	36140	0	0	384	0	288	0	0	13	0	0	0	42	3	0	2	0	0	85	79
r2_B43	0	0	2	0	2130	6	3600	16931	242	0	0	35645	0	0	258	0	378	0	0	67	0	0	0	56	2	0	2	0	0	87	620
r2_B44	0	0	1	0	2592	13	4053	21917	243	0	0	34136	0	0	353	0	555	0	0	87	0	0	0	113	0	0	10	0	0	95	750
r2_B45	0	0	2	0	1321	12	1800	14726	420	0	0	41944	0	0	149	0	540	0	0	20	0	0	0	130	0	0	17	0	0	91	2655
r2_B46	0	0	6	0	2781	10	3211	11518	452	0	0	79640	0	0	137	0	832	0	0	26	0	0	0	172	2	0	10	0	0	136	5094
r2_B47	0	1	2	1	1059	10	3086	44361	1982	0	0	32880	0	0	2062	0	2308	0	0	15	0	0	0	40	9	0	6	0	0	101	6811
r2_B5	0	0	3	0	3133	19	17314	36849	444	0	1	64324	0	0	1079	0	2148	0	0	33	0	0	0	122	5	0	20	0	1	112	2543
r2_B6	1	1	5	0	3644	7	21679	26203	181	0	2	47119	0	0	1121	0	1522	1	0	20	0	0	0	45	2	0	6	0	0	84	4497
r2_B7	0	0	4	0	4094	7	19219	21863	132	0	0	35155	0	0	983	0	1195	0	0	16	0	1	0	65	0	0	3	0	0	71	3970
r2_B8	0	1	3	0	2416	6	14370	24388	178	0	2	38317	0	0	715	0	1136	0	0	11	0	0	0	66	0	0	9	0	0	65	993
r2_B9	1	0	3	0	4187	11	17247	24521	233	0	0	45825	0	0	914	0	1223	0	0	367	0	1	0	48	3	0	7	0	0	77	1428
r2_C1	0	0	6	0	3596	25	3575	6045	208	0	0	74976	0	0	0	0	4958	0	0	229	0	0	0	29	0	0	19	0	0	103	8
r2_C10	0	0	2	1	683	18	3799	11806	11	0	1	30598	0	0	0	0	873	0	0	70	0	0	0	280	1	0	17	0	0	41	7
r2_C11	0	0	0	1	764	3	2388	8186	6	0	1	25617	0	0	0	2	817	0	0	168	0	0	0	207	0	1	3	0	0	34	0
r2_C12	0	1	3	0	1047	24	1998	2040	44	0	0	21246	0	0	0	0	711	0	0	47	0	0	0	151	0	0	17	0	0	44	9
r2_C13	0	0	1	0	468	12	217	563	24	0	0	10356	0	0	0	0	322	0	0	30	0	0	0	22	0	0	8	0	0	16	1
r2_C14	0	0	0	0	583	14	4951	1912	62	0	0	20509	0	0	0	0	910	0	0	27	0	0	0	33	0	0	6	0	0	42	3
r2_C15	0	0	3	0	1452	11	1321	4433	124	0	0	34941	0	0	0	0	2070	0	0	27	0	0	0	15	0	1	18	0	0	48	4
r2_C16	0	0	0	0	251	3	444	1282	16	0	0	9407	0	0	0	0	679	0	0	10	0	0	0	13	0	0	4	0	0	11	3
r2_C17	0	0	3	0	936	3	2225	882	5	0	2	18724	0	0	0	0	556	0	0	15	0	0	0	19	0	0	2	0	0	17	2
r2_C18	0	0	2	0	1428	3	4722	1158	18	0	1	33835	0	0	0	0	788	0	0	2372	0	0	0	31	0	0	4	0	0	69	2
r2_C19	0	0	2	0	1892	3	1373	130	18	0	0	22075	0	0	0	0	2625	0	0	5	0	1	0	2	0	0	4	0	0	35	0
r2_C2	0	0	4	0	3829	20	2115	8995	322	0	0	52810	0	0	0	1	5523	0	0	204	0	0	0	94	0	0	18	0	0	60	8
r2_C20	0	0	4	0	5415	16	2537	1626	144	0	0	45231	0	0	0	0	8253	0	0	60	0	0	0	16	0	1	15	0	0	68	3
r2_C21	0	0	3	1	1417	26	943	2555	39	0	0	41870	0	0	3	0	1310	0	0	453	0	0	0	88	0	0	16	0	0	60	5
r2_C22	0	2	2	0	1172	9	1570	4053	119	0	1	46964	0	0	0	0	2064	0	0	133	0	0	0	200	0	0	1	0	0	40	1
r2_C23	0	0	3	0	1905	8	3267	4351	141	0	0	44228	0	0	0	0	1564	0	0	732	0	0	0	476	0	0	12	0	0	58	9
r2_C24	0	1	2	0	587	7	2029	3220	153	0	0	28500	0	0	0	0	554	0	0	187	0	0	0	190	0	0	3	0	0	41	3
r2_C25	0	0	5	0	397	79	371	974	24	0	0	9789	0	0	4	0	248	2	0	122	0	0	0	70	0	1	50	0	0	84	29
r2_C26	0	0	1	0	1794	6	646	2769	46	0	3	19743	0	0	0	0	715	0	0	188	0	0	0	135	0	0	1	0	0	24	1
r2_C27	0	0	0	0	1910	10	1679	3324	28	0	1	31603	0	0	0	0	1180	0	0	36	0	0	0	26	0	0	3	0	0	34	5
r2_C28	0	1	2	0	1693	21	1004	2923	94	0	0	44638	0	0	2	0	1540	0	0	142	0	0	0	102	0	0	17	0	0	65	3
r2_C29	0	0	2	0	1660	9	1041	998	21	0	0	36699	0	0	0	0	1814	0	0	199	0	0	0	32	1	0	6	0	0	73	0
r2_C3	0	1	2	0	3541	22	5588	13663	489	0	1	55127	0	0	1	0	4183	0	0	504	0	0	0	174	0	0	8	0	0	75	4
r2_C30	0	0	1	0	1078	4	518	4238	86	0	0	20730	0	0	0	0	415	0	0	121	0	0	0	49	0	1	3	0	0	76	1
r2_C31	0	0	2	0	1818	6	1154	1321	13	0	0	21934	0	0	0	1	661	0	0	366	0	0	0	8	0	0	7	0	0	52	3
r2_C32	0	0	3	0	2230	8	2014	2970	55	0	0	41882	0	0	0	0	1012	0	0	2456	0	0	0	32	0	0	2	0	0	107	0
r2_C33	0	0	4	0	2132	9	1807	4542	255	0	0	39204	0	0	0	0	1147	0	0	291	0	0	0	110	0	1	4	0	0	45	2
r2_C4	0	0	1	0	1014	10	2165	3552	69	0	1	16640	0	0	2	0	1392	0	0	51	0	0	0	10	0	0	3	0	0	21	1
r2_C5	0	0	2	0	1243	22	1838	3240	135	0	0	12985	0	0	1	0	797	0	0	34	0	0	0	15	0	0	4	0	0	30	8
r2_C6	0	0	1	0	898	35	4748	6621	57	0	0	30986	0	0	0	0	1843	0	0	138	0	1	0	37	0	0	34	0	0	62	8
r2_C7	0	0	4	0	2368	11	2132	11327	531	0	1	68771	0	0	0	0	4467	0	0	50	0	0	0	62	0	0	7	0	0	67	2
r2_C8	0	0	3	0	656	9	6707	15921	44	0	0	38871	0	0	0	0	844	0	0	33	0	0	0	280	0	1	3	0	0	34	3
r2_C9	0	0	3	1	962	10	6301	13061	16	0	5	40971	0	0	0	0	1228	0	0	1724	0	0	0	343	0	0	7	0	0	42	3
