sample	Acidobacteria_Gp19	Acidobacteria_Gp21	Acidobacteria_Gp5	Acidobacteria_Gp9	Actinobacteria	Alphaproteobacteria	Bacilli	Bacteroidia	Betaproteobacteria	Caldilineae	Chloroplast	Clostridia	Cytophagia	Deinococci	Deltaproteobacteria	Epsilonproteobacteria	Erysipelotrichia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Halobacteria	Methanobacteria	Mollicutes	Negativicutes	Opitutae	Planctomycetia	Sphingobacteriia	Subdivision5	Synergistia	Thermoprotei	Verrucomicrobiae
r1_B18	0	0	0	0	1700	5	2431	19208	775	0	0	36007	0	0	189	0	2358	0	0	31	0	0	0	26	0	0	30	0	0	2	1353
r1_B19	0	0	0	0	1501	4	2263	22462	332	0	0	40333	0	0	477	0	1474	0	0	43	0	0	0	31	0	0	32	0	0	1	2769
r1_B2	0	0	0	0	2294	1	3242	25758	330	0	0	47813	0	0	791	0	2701	0	0	506	0	0	0	31	0	0	31	0	0	1	5043
r1_B20	0	0	0	0	1169	0	323	1117	30	0	0	13021	0	0	19	0	989	0	0	23	0	0	0	18	0	0	9	0	0	1	725
r1_B21	0	0	0	0	1905	1	921	3299	61	0	0	31034	0	0	33	0	1787	0	0	47	0	1	0	50	0	0	30	0	0	3	1325
r1_B22	0	0	0	0	1674	0	842	1733	44	0	0	23680	0	0	29	0	1338	0	0	22	0	3	0	33	0	1	23	0	0	0	832
r1_B23	0	0	0	0	2518	2	1271	2377	76	0	0	30465	0	0	43	0	1770	1	0	52	0	0	0	56	0	0	38	0	0	2	1246
r1_B24	0	0	0	0	1038	0	4221	22239	449	0	0	33809	0	0	414	0	1011	0	0	18	0	1	0	122	0	0	19	0	0	1	3778
r1_B25	0	0	0	0	1343	1	1759	17283	752	0	0	39730	0	0	273	0	1610	0	1	33	0	0	0	25	0	0	14	0	0	0	2866
r1_B26	0	0	0	0	2040	2	889	10817	684	0	0	49906	0	0	96	0	1217	0	0	34	0	0	0	34	0	0	36	0	0	1	2843
r1_B27	0	0	0	0	1630	1	777	15358	608	0	0	46047	0	0	116	0	5822	0	0	38	0	0	0	44	0	0	10	0	0	0	2516
r1_B28	0	0	0	0	673	0	5224	13673	602	0	9	19001	0	0	206	0	1590	0	0	10	0	0	0	14	0	0	3	0	0	0	234
r1_B29	0	0	0	0	940	1	3130	12177	391	0	0	20928	0	0	147	0	2231	0	0	34	0	0	0	23	0	0	24	0	0	1	290
r1_B3	0	0	1	0	1219	1	4958	16731	138	0	2	33601	0	0	438	0	1331	0	0	23	0	0	0	17	0	0	13	0	0	0	1195
r1_B30	0	0	0	0	1408	7	3556	25495	1080	1	2	41410	0	0	364	0	4118	1	0	68	0	0	0	20	0	1	43	0	0	1	1263
r1_B31	0	0	0	0	1204	3	3884	24437	902	0	0	33516	0	0	604	0	2663	0	0	38	0	0	0	7	0	0	37	0	0	2	2636
r1_B32	0	0	0	0	4445	1	580	18424	266	0	0	25413	0	0	116	0	10878	0	0	44	0	0	0	19	0	0	38	0	0	4	4168
r1_B33	0	0	0	0	1488	2	350	17043	371	0	0	16570	0	0	259	0	3875	0	0	27	0	0	1	13	0	0	17	0	0	2	2165
r1_B34	0	0	0	0	2808	0	361	12189	114	0	0	12502	0	0	57	0	5332	0	0	11	0	0	0	4	0	0	12	0	1	2	2618
r1_B35	0	0	0	0	2890	3	2053	14282	330	0	0	32527	0	0	150	0	2882	0	0	25	0	0	0	27	0	0	9	0	0	3	1099
r1_B36	0	0	0	0	1525	2	1797	15964	210	0	0	28973	0	0	239	0	960	0	0	635	0	0	0	24	0	0	14	0	0	1	12
r1_B37	0	0	0	0	1586	0	1607	14125	208	0	0	24392	0	0	229	1	836	0	0	581	0	0	0	17	0	0	6	0	0	0	5
r1_B38	0	0	0	0	1514	0	1416	13262	129	0	1	22914	0	0	160	0	755	0	0	599	0	0	0	11	0	0	19	0	0	0	2
r1_B39	0	0	0	0	1614	0	2318	20505	239	0	0	31344	0	0	274	0	1075	0	0	780	0	0	0	17	0	0	16	0	0	1	7
r1_B4	0	0	0	0	2780	4	13557	40523	320	0	11	56683	0	0	1187	0	2701	0	0	46	0	0	0	66	0	0	44	0	0	1	3397
r1_B40	0	0	0	0	790	0	2553	21405	587	0	0	27541	1	0	552	0	634	0	0	129	0	0	0	16	0	0	11	0	0	0	3
r1_B41	0	0	0	0	843	0	2865	24758	639	0	0	33506	0	0	635	0	639	0	0	178	0	0	0	19	0	0	18	1	0	1	6
r1_B42	0	0	0	0	994	0	965	17055	593	0	0	38308	0	0	407	0	322	1	0	21	0	0	0	32	0	0	14	0	0	1	88
r1_B43	0	0	0	0	2265	2	3758	17764	250	0	1	37411	0	0	273	0	411	0	0	81	0	0	0	57	0	0	11	0	0	0	637
r1_B44	0	0	1	0	2743	6	4267	23019	258	0	0	35847	0	0	372	0	594	1	0	120	0	0	0	124	0	0	26	0	0	2	812
r1_B45	0	0	0	0	1416	2	1893	15556	441	0	0	44113	0	0	158	0	583	1	0	46	0	0	0	115	0	0	55	0	0	2	2743
r1_B46	0	0	0	0	2957	7	3378	12084	467	0	0	82462	0	0	139	0	870	0	0	75	0	0	0	141	0	0	43	0	0	1	5219
r1_B47	0	0	0	0	1119	2	3209	46641	2014	0	0	34293	0	0	2123	0	2376	0	0	40	0	0	0	36	0	0	21	0	0	1	6968
r1_B5	0	0	0	0	3246	9	17812	39077	455	0	1	66428	0	0	1110	0	2240	0	0	85	0	0	0	133	0	0	47	0	1	3	2597
r1_B6	0	0	0	0	3713	5	21996	27651	183	0	2	48059	0	0	1134	0	1555	0	0	40	0	0	0	51	0	0	28	0	0	1	4505
r1_B7	0	0	0	0	4189	1	19608	23268	137	0	0	35959	0	0	1005	0	1239	0	0	24	0	1	0	67	0	0	7	0	0	1	3979
r1_B8	0	0	0	0	2490	3	14667	25744	179	0	2	39313	0	0	723	0	1174	0	0	30	0	0	0	71	0	0	12	0	0	2	1006
r1_B9	0	0	0	0	4296	3	17737	26363	240	0	0	47173	0	0	934	0	1282	0	0	392	0	1	0	56	0	0	31	0	0	1	1454
r1_C1	0	0	0	0	3718	1	3704	6287	214	0	0	77351	0	0	1	0	5200	0	0	300	0	0	0	44	0	1	87	0	0	11	28
r1_C10	0	0	0	0	726	1	3902	12082	11	0	1	31432	0	0	4	0	964	0	0	131	0	0	0	291	0	0	71	0	0	2	16
r1_C11	0	0	0	0	793	1	2475	8438	6	0	1	26480	0	0	1	2	958	0	0	186	0	0	0	213	0	0	22	0	0	0	6
r1_C12	0	0	0	0	1113	5	2116	2174	46	0	0	22146	0	0	0	0	794	0	0	106	0	0	0	167	0	0	57	0	0	1	20
r1_C13	0	0	0	0	499	2	253	627	24	0	0	10801	0	0	1	0	365	0	0	65	0	0	0	27	0	0	33	0	0	4	11
r1_C14	0	0	0	0	615	3	5152	2025	64	0	0	21465	0	0	0	0	963	0	0	54	0	0	0	37	0	0	59	0	0	1	14
r1_C15	0	0	0	0	1503	2	1383	4600	129	0	0	35979	0	0	0	0	2179	0	0	44	0	0	0	20	0	0	29	0	0	3	8
r1_C16	0	0	0	0	258	2	463	1329	16	0	0	9650	0	0	1	0	708	0	0	22	0	0	0	17	0	1	10	0	0	2	3
r1_C17	0	0	0	0	966	1	2257	902	6	0	2	19044	0	0	0	0	573	0	0	20	0	0	0	17	0	0	4	0	0	2	2
r1_C18	0	0	0	0	1490	1	4986	1233	18	0	1	35207	0	0	0	0	854	0	0	2465	0	0	0	32	0	0	13	0	0	1	2
r1_C19	0	0	0	0	1947	0	1411	144	19	0	0	22559	0	0	0	0	2687	0	0	22	0	0	0	2	0	0	10	0	0	2	5
r1_C2	0	0	0	0	3937	12	2208	9264	323	0	0	54141	0	0	1	1	5738	0	0	255	0	0	0	119	0	0	82	0	0	5	29
r1_C20	0	0	0	0	5551	1	2634	1704	146	0	0	46446	0	0	0	0	8497	0	0	64	0	0	0	9	0	0	39	0	0	2	7
r1_C21	0	0	1	0	1498	12	1021	2730	40	0	0	43185	0	0	6	0	1385	0	0	540	0	0	0	105	0	0	81	0	0	2	29
r1_C22	0	0	0	0	1218	4	1617	4171	122	0	1	48121	0	0	0	0	2154	0	0	156	0	0	0	217	0	0	23	0	0	2	5
r1_C23	0	0	0	0	1971	15	3367	4496	142	0	0	45352	0	0	3	0	1652	0	0	773	0	0	0	505	0	0	36	0	0	2	14
r1_C24	0	0	0	0	613	1	2076	3292	158	0	0	29132	0	0	2	0	596	0	0	202	0	0	0	190	0	0	17	0	0	1	7
r1_C25	0	0	0	0	528	63	507	1325	24	0	0	11203	0	0	5	0	376	0	0	327	0	0	0	132	0	0	195	0	0	11	62
r1_C26	0	0	0	0	1836	4	681	2880	47	0	3	20376	0	0	0	0	750	0	0	193	0	0	0	138	0	0	10	0	0	0	2
r1_C27	0	0	0	0	1940	4	1737	3402	28	0	1	32188	0	0	0	0	1214	1	0	60	0	0	0	32	0	0	18	0	0	2	10
r1_C28	0	0	0	0	1748	10	1069	3078	96	0	0	45716	0	0	4	0	1622	0	0	194	0	0	0	109	0	0	52	0	0	2	15
r1_C29	0	0	0	0	1741	2	1084	1066	22	0	0	37998	0	0	1	0	1975	0	0	228	0	0	0	35	0	0	19	0	0	2	5
r1_C3	0	0	0	0	3616	4	5713	13946	501	0	1	56228	0	0	1	0	4324	0	0	535	0	0	0	183	0	0	37	0	0	2	13
r1_C30	0	0	0	0	1209	2	591	4705	98	0	0	23040	0	0	1	0	483	0	0	140	0	0	0	54	0	0	16	0	0	0	2
r1_C31	0	0	0	0	1874	0	1184	1387	14	0	0	22508	0	0	0	1	686	0	0	393	0	0	0	10	0	0	14	0	0	0	10
r1_C32	0	0	0	0	2388	1	2150	3209	61	0	0	44366	0	0	0	0	1103	0	0	2632	0	0	0	34	0	0	14	0	0	4	6
r1_C33	0	0	0	0	2183	0	1847	4634	260	0	0	39903	0	0	0	0	1177	0	0	318	0	0	0	114	0	0	20	0	0	2	12
r1_C4	0	0	0	0	1049	1	2208	3632	70	0	1	17021	0	0	2	0	1443	0	0	57	0	0	0	10	0	0	13	0	0	1	4
r1_C5	0	0	1	0	1326	7	1956	3465	141	0	0	13925	0	0	2	0	886	0	0	64	0	0	0	22	0	0	47	0	0	1	14
r1_C6	0	0	0	0	1002	10	4967	6974	54	0	0	32551	0	0	5	0	1950	0	0	276	0	0	0	62	0	0	147	0	0	6	42
r1_C7	0	0	0	0	2423	0	2196	11577	539	0	1	70097	0	0	0	0	4779	0	0	88	0	0	0	65	0	0	34	0	0	0	13
r1_C8	0	0	1	0	684	2	6851	16269	45	0	0	39860	0	0	2	0	896	0	0	84	0	0	0	291	0	0	26	0	0	0	15
r1_C9	0	0	0	0	996	7	6483	13288	16	0	5	41926	0	0	1	0	1346	0	0	1772	0	0	0	354	0	0	29	0	0	1	15
r2_1	0	1	2	0	7233	1	26505	19720	23	0	9	61182	0	0	0	0	6291	0	1	17	0	0	0	7873	0	0	1	0	0	146	3
r2_10	0	0	2	0	3041	2	188	8150	55	0	1	19019	0	0	0	0	1867	0	0	6	0	0	0	2553	0	0	2	0	0	31	1
r2_11	0	0	3	0	13904	5	1477	8402	43	0	1	40606	0	0	0	0	5625	0	0	34	0	0	0	2436	1	0	2	0	0	104	4
r2_12	0	0	2	0	4007	17	772	18152	226	0	2	33905	0	0	0	0	2834	0	0	30	0	0	0	6378	0	0	4	0	0	42	1
r2_13	0	0	1	0	3134	42	2494	25616	103	0	19	41956	0	0	0	0	3792	0	0	135	0	0	0	6333	0	0	1	0	0	67	0
r2_14	0	0	1	0	2967	11	7849	6870	17	0	1	39794	0	0	0	0	1959	0	2	24	0	0	0	3089	0	0	1	0	0	102	1
r2_15	0	0	2	0	4198	409	1190	16208	244	0	2	40077	0	0	0	0	2449	0	1	7	0	0	0	6175	0	0	4	0	0	89	1
r2_16	0	0	2	0	3908	469	2803	10224	151	0	0	30939	0	0	0	0	1479	0	0	11	0	0	0	3548	0	0	5	0	0	255	1
r2_17	0	0	1	0	4458	268	5796	10261	114	0	0	44730	0	0	0	0	2419	0	0	39	0	0	0	3623	1	0	7	0	0	64	1
r2_18	0	0	2	0	5306	45	7881	6560	40	0	0	32713	0	0	0	0	4140	0	0	19	0	0	0	2786	0	0	2	0	0	70	2
r2_19	0	0	2	0	4312	148	5140	8982	104	0	0	33547	0	0	1	0	3052	1	0	9	0	0	0	4740	0	0	1	0	0	60	1
r2_2	0	0	3	0	8296	3	8680	11803	37	0	9	57992	0	0	0	0	9865	0	0	180	0	0	0	3594	0	0	1	0	0	107	5
r2_20	0	0	3	0	12572	72	7050	21739	67	0	0	72722	0	0	0	0	6428	0	2	453	0	0	0	3288	0	0	1	0	0	119	1
r2_21	0	0	2	0	19367	141	5572	14549	190	0	1	63405	0	0	0	0	4317	0	0	48	0	0	0	4956	0	0	4	0	0	128	3
r2_22	0	0	3	0	10824	101	7050	17939	159	0	1	48845	0	1	1	0	5143	0	0	62	0	0	0	10006	0	0	4	0	0	114	1
r2_23	0	0	5	0	7841	233	1360	20646	248	0	0	53221	0	0	1	0	7021	0	0	22	0	0	0	13106	0	0	4	0	0	123	2
r2_24	0	0	2	0	6896	442	2591	21680	215	0	0	36530	0	0	0	0	2732	0	1	14	0	0	0	14865	2	0	6	0	0	144	2
r2_25	0	0	3	0	4339	827	2860	12397	144	0	0	26015	0	0	0	0	2085	0	0	13	0	0	0	7181	0	0	3	0	0	66	2
r2_26	0	0	4	0	4408	901	952	10172	181	0	0	31276	0	0	0	0	2326	0	0	83	0	0	0	5480	0	0	2	0	0	52	0
r2_27	0	0	3	0	6330	328	401	9709	237	0	1	28497	0	0	0	0	1553	0	0	357	0	0	0	2793	0	0	8	0	0	50	2
r2_28	0	1	2	0	4910	47	302	8996	62	0	0	24366	0	0	0	0	2198	0	0	4	1	0	0	3686	0	0	3	0	0	43	1
r2_29	0	1	2	0	6026	52	327	4755	45	0	0	29697	0	0	1	0	2022	0	0	90	0	0	0	1456	0	0	42	0	0	147	15
r2_3	0	0	4	0	4679	5	1261	19762	206	0	5	52181	0	0	0	0	6174	0	0	15	0	0	0	6185	1	0	2	0	0	68	4
r2_30	0	0	2	0	6919	11	612	5726	4	0	6	42932	0	0	0	0	2920	0	0	6	0	0	0	451	0	0	3	0	0	50	0
r2_31	0	0	2	0	9314	57	1107	15697	108	0	1	40866	0	0	0	0	3150	0	0	8	0	0	0	2562	0	0	2	0	0	74	0
r2_32	0	1	1	0	6320	22	1968	6221	78	0	0	42558	0	0	0	0	3051	0	0	13	0	0	0	4931	0	0	1	0	0	73	0
r2_33	0	0	2	0	7356	80	3066	9471	121	0	1	55584	0	0	0	0	5560	0	0	13	0	0	0	5672	5	0	2	0	0	93	2
r2_34	0	1	2	0	9310	247	5414	10829	132	0	7	69336	0	0	1	0	9119	0	3	39	0	1	0	11937	0	0	9	0	0	126	3
r2_35	0	0	2	0	6904	1221	3207	13608	345	0	1	75250	0	0	0	0	7275	0	0	37	0	0	0	10608	2	0	15	0	0	158	6
r2_36	0	2	1	0	9314	1204	1627	20513	530	0	2	88440	0	0	1	0	5702	0	0	23	0	0	0	9584	0	0	6	0	0	122	5
r2_37	0	0	0	0	80	57	104	193	4	0	0	1117	0	0	0	0	69	0	0	88	0	0	0	38	0	0	53	0	0	42	19
r2_38	0	0	4	0	10270	12	731	3495	11	0	1	41562	0	0	0	0	3530	0	0	6	0	0	0	10735	3	0	2	0	0	168	2
r2_39	0	0	2	0	12192	12	2540	5388	32	0	1	46230	0	0	0	0	3360	0	0	5	0	0	0	5914	2	0	2	0	0	121	1
r2_4	0	0	1	0	4475	9	6525	18858	70	0	1	30969	0	0	1	0	2002	0	0	14662	0	0	0	5355	0	0	4	0	0	83	0
r2_40	0	0	1	0	10107	8	1050	4675	70	0	1	36778	0	0	0	0	3377	0	0	15	0	0	0	5174	0	0	4	0	0	64	3
r2_41	0	0	0	0	5458	29	2404	9864	41	0	0	26816	0	0	0	0	2273	0	0	5	0	0	0	7819	1	0	0	0	0	97	2
r2_42	0	0	3	0	14466	79	2328	24682	98	0	7	83338	0	0	0	0	14479	0	0	15	0	0	0	6667	1	2	3	0	0	139	2
r2_43	0	0	1	0	10884	7	2118	1138	7	0	0	28460	0	0	0	0	5819	0	0	7	0	0	0	1114	0	0	3	0	0	58	1
r2_44	0	0	2	0	8151	40	885	1489	17	0	0	24563	0	0	3	0	1491	0	0	68	0	0	0	1186	0	0	34	0	0	132	16
r2_45	0	0	1	0	40	27	63	107	3	0	0	728	0	0	0	0	41	1	0	49	0	0	0	23	0	0	24	0	0	31	9
r2_46	0	0	1	0	6011	33	1460	565	5	0	1	18971	0	0	3	0	1677	0	0	61	0	0	0	725	1	1	32	0	0	95	15
r2_47	0	1	4	0	11306	498	1706	15429	129	0	3	62460	0	0	0	0	5506	0	0	16	0	0	0	5223	2	0	2	0	0	135	2
r2_48	0	0	5	0	11489	369	8749	12119	125	0	1	68131	0	0	0	1	3537	0	0	51	0	0	0	8312	0	0	2	0	0	136	2
r2_49	0	1	5	0	17729	39	5847	4803	43	0	0	87389	0	0	0	0	14950	0	0	16	0	1	0	8380	1	0	1	0	0	157	0
r2_5	0	0	1	0	2662	5	6937	14509	270	0	0	25151	0	0	0	0	2481	0	0	639	0	0	0	3947	0	0	1	0	0	57	1
r2_50	0	0	2	0	7239	17	2496	12470	60	0	0	47538	1	0	0	0	5398	0	0	4	0	0	0	3262	0	0	2	0	0	165	0
r2_51	0	2	5	0	13191	76	831	10677	37	0	0	71177	0	0	0	0	6575	0	1	24	0	0	0	11356	2	0	12	0	0	162	3
r2_52	0	0	0	0	59	17	45	65	4	0	0	484	0	0	1	0	26	0	0	23	0	0	0	17	0	0	13	0	0	16	3
r2_53	0	0	1	0	5726	13	3355	7952	73	0	3	30886	0	0	0	0	2179	0	0	13	0	0	0	1231	0	0	1	0	0	131	3
r2_54	0	0	0	0	9395	39	2442	12887	86	0	1	39292	0	0	1	0	3891	0	0	15	0	0	0	1818	0	0	4	0	0	89	3
r2_55	0	1	2	1	8365	129	4074	15828	179	0	10	47608	0	0	0	0	4898	1	1	35	0	0	0	4216	0	0	15	0	0	124	5
r2_56	0	0	7	0	22005	13	1526	89	1	0	0	52850	0	0	0	0	11923	0	0	21	0	0	0	428	0	0	5	0	0	207	4
